Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,15,7,11,4,63.64,36.36,1,14.29,2026-03-11
1002 AP PUERTO VALLARTA LOCAL,2,1,1,1,100.00,50.00,0,0.00,2026-03-11
1004 AP MERIDA,4,3,4,0,75.00,0.00,2,66.67,2026-03-11
1010 AP CDMX BJ T2,8,3,7,1,42.86,25.00,3,100.00,2026-03-11
1015 CC GUADALAJARA PLAZA ANDARES,2,1,1,1,100.00,50.00,1,100.00,2026-03-11
1017 CC MORELIA AMERICAS,4,3,3,1,100.00,25.00,2,66.67,2026-03-11
1018 CC MERIDA ALTABRISA,5,4,4,1,100.00,20.00,4,100.00,2026-03-11
1020 AP GUADALAJARA ISLA,4,2,4,0,50.00,0.00,2,100.00,2026-03-11
1021 CC PUEBLA ANGELOPOLIS,4,2,2,2,100.00,50.00,2,100.00,2026-03-11
1023 CC SAN LUIS POTOSÍ,3,2,2,1,100.00,33.33,1,50.00,2026-03-11
1024 CC VILLAHERMOSA ALTABRISA,6,2,2,4,100.00,66.67,2,100.00,2026-03-11
1025 CC MERIDA GALERIAS,2,1,1,1,100.00,50.00,1,100.00,2026-03-11
1026 AP VILLAHERMOSA,6,5,5,1,100.00,16.67,5,100.00,2026-03-11
1030 AP CULIACÁN,4,1,3,1,33.33,50.00,1,100.00,2026-03-11
1031 CC CDMX FORUM BUENAVISTA,4,2,2,2,100.00,50.00,2,100.00,2026-03-11
1032 CC CAMPECHE GALERIAS,2,1,1,1,100.00,50.00,1,100.00,2026-03-11
1034 CC QUERETARO PLAZA ANTEA,3,2,3,0,66.67,0.00,2,100.00,2026-03-11
1036 CC CULIACÁN PLAZA FORUM,4,1,1,3,100.00,75.00,1,100.00,2026-03-11
1037 AP CANCÚN SALA AIRE,14,1,14,0,7.14,0.00,1,100.00,2026-03-11
1038 AP LOS CABOS,3,0,3,0,0.00,0.00,0,0.00,2026-03-11
1042 CC GUADALAJARA GALERIAS,3,2,2,1,100.00,33.33,2,100.00,2026-03-11
1044 CC MERIDA LA ISLA,5,1,3,2,33.33,66.67,1,100.00,2026-03-11
1045 CC TUXTLA FASHION MALL,6,4,4,2,100.00,33.33,4,100.00,2026-03-11
1046 CC CABOS PUERTO PARAISO,6,4,5,1,80.00,20.00,4,100.00,2026-03-11
1047 CC GUADALAJARA PLAZA PATRIA,3,1,1,2,100.00,66.67,1,100.00,2026-03-11
1048 AP DEL BAJIO,2,0,0,2,0.00,100.00,0,0.00,2026-03-11
1049 CC GUADALAJARA LA PERLA,3,1,3,0,33.33,0.00,1,100.00,2026-03-11
1052 CC CDMX LAS ANTENAS,1,1,1,0,100.00,0.00,1,100.00,2026-03-11
1053 CC VERACRUZ ANDAMAR,3,3,3,0,100.00,0.00,3,100.00,2026-03-11
1054 CC CDMX PARQUE LINDAVISTA,2,2,2,0,100.00,0.00,2,100.00,2026-03-11
1055 CC CDMX PARQUE VIA VALLEJO,3,1,2,1,50.00,50.00,1,100.00,2026-03-11
1058 AP TIJUANA AMBULATORIO,3,1,2,1,50.00,50.00,0,0.00,2026-03-11
1064 CC CDMX SATÉLITE,13,4,4,9,100.00,69.23,3,75.00,2026-03-11
1065 CC CDMX PARQUE TEPEYAC,3,2,2,1,100.00,33.33,2,100.00,2026-03-11
1066 CC CANCUN AMERICAS,7,4,4,3,100.00,42.86,4,100.00,2026-03-11
1067 AP AERO DF AMBULATORIO T1,5,1,4,1,25.00,50.00,1,100.00,2026-03-11
1068 AP AERO MERIDA AMBULATORIO,8,3,4,4,75.00,57.14,2,66.67,2026-03-11
1069 AP TIJUANA ISLA,5,4,4,1,100.00,20.00,3,75.00,2026-03-11
2001 TC GUADALAJARA CAÑADAS,7,2,5,2,40.00,50.00,2,100.00,2026-03-11
2004 CC LEON MULZA,13,5,7,6,71.43,54.55,5,100.00,2026-03-11
2008 CC CDMX PUNTA NORTE,3,2,2,1,100.00,33.33,2,100.00,2026-03-11
2009 CC CANCÚN PASEOS,12,5,7,5,71.43,50.00,5,100.00,2026-03-11
2011 TC GUADALAJARA TESISTÁN,11,5,7,4,71.43,44.44,5,100.00,2026-03-11
2012 CC LERMA PLAZAS OUTLET,7,2,5,2,40.00,50.00,1,50.00,2026-03-11
2014 CC CUERNAVACA FORUM,20,12,14,6,85.71,33.33,11,91.67,2026-03-11
2015 EXPLANADA PACHUCA,10,5,5,5,100.00,50.00,5,100.00,2026-03-11
2016 CC QUERETARO PREMIUM OUTLETS,10,7,8,2,87.50,22.22,7,100.00,2026-03-11
2018 CC EXPLANADA CULIACAN,9,2,4,5,50.00,71.43,2,100.00,2026-03-11
2021 CC CDMX PORTAL CENTRO,9,1,7,2,14.29,66.67,1,100.00,2026-03-11
2022 CC LEON NUEVO MULZA,10,1,6,4,16.67,80.00,1,100.00,2026-03-11
2023 CC OUTLET RIVIERA MAYA,9,1,8,1,12.50,50.00,1,100.00,2026-03-11
2024 CC OUTLET LEON,2,1,1,1,100.00,50.00,1,100.00,2026-03-11
2050 TC GUADALAJARA MFS VALLARTA,9,0,6,3,0.00,100.00,0,0.00,2026-03-11
